Ask Price,Ask Volume,Bid Price,Bid Volume,Chg Pct,Chg,Code,DY,Date,High,Last Price,Low,Market Cap,Name,Number of Records,Open,PE,Quote,ROE,Sector,Update Date,Volume
2.66,10040,2.65,109,-1.48,-0.04,5099,24.06,31/3/2019,2.71,2.66,2.62,8890,MAINAIRASIA GROUP BERHAD,1,2.71,4.39,AIRASIA,32.57,"Travel, Leisure & Hospitality",31/3/2019 13:13,139001
0.29,118,0.275,201,0,0,191,4.56,31/3/2019,,0.29,,50,ACECABNET HOLDINGS BERHAD,1,,10.8,CABNET,10.04,Technology Equipment,31/3/2019 13:13,0
0.06,74660,0.055,13290,0,0,7243,,31/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,31/3/2019 13:13,8640
1.39,3981,1.38,15214,0.72,0.01,5141,,31/3/2019,1.43,1.39,1.38,1341,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.38,8.18,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",31/3/2019 13:13,211910
1.39,3981,1.38,15214,0.72,0.01,5141,,30/3/2019,1.43,1.39,1.38,1341,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.38,8.18,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",30/3/2019 13:11,211910
2.66,10040,2.65,109,-1.48,-0.04,5099,24.06,30/3/2019,2.71,2.66,2.62,8890,MAINAIRASIA GROUP BERHAD,1,2.71,4.39,AIRASIA,32.57,"Travel, Leisure & Hospitality",30/3/2019 13:11,139001
0.29,118,0.275,201,0,0,191,4.56,30/3/2019,,0.29,,50,ACECABNET HOLDINGS BERHAD,1,,10.8,CABNET,10.04,Technology Equipment,30/3/2019 13:11,0
0.06,74660,0.055,13290,0,0,7243,,30/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,30/3/2019 13:11,8640
0.29,118,0.275,201,0,0,191,4.56,29/3/2019,,0.29,,50,ACECABNET HOLDINGS BERHAD,1,,10.8,CABNET,10.04,Technology Equipment,29/3/2019 13:11,0
1.39,3981,1.38,15214,0.72,0.01,5141,,29/3/2019,1.43,1.39,1.38,1341,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.38,8.18,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",29/3/2019 13:11,211910
2.66,10040,2.65,109,-1.48,-0.04,5099,24.06,29/3/2019,2.71,2.66,2.62,8890,MAINAIRASIA GROUP BERHAD,1,2.71,4.39,AIRASIA,32.57,"Travel, Leisure & Hospitality",29/3/2019 13:11,139001
0.06,74660,0.055,13290,0,0,7243,,29/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,29/3/2019 13:11,8640
0.285,95,0.27,300,3.64,0.01,191,4.56,28/3/2019,0.285,0.29,0.275,50,ACECABNET HOLDINGS BERHAD,1,0.275,10.8,CABNET,10.04,Technology Equipment,28/3/2019 13:11,170
1.38,5002,1.37,8628,-0.72,-0.01,5141,,28/3/2019,1.4,1.38,1.36,1331,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.39,8.12,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",28/3/2019 13:11,171938
0.06,73685,0.055,4371,20,0.01,7243,,28/3/2019,0.06,0.06,0.05,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,28/3/2019 13:11,11339
2.71,206,2.7,1269,0,0,5099,23.7,28/3/2019,2.73,2.7,2.69,9023,MAINAIRASIA GROUP BERHAD,1,2.71,4.46,AIRASIA,32.57,"Travel, Leisure & Hospitality",28/3/2019 13:11,47270
0.055,7,0.05,121201,-16.67,-0.01,7243,,27/3/2019,0.06,0.05,0.05,39,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,27/3/2019 13:11,49163
2.72,20,2.7,7467,-1.46,-0.04,5099,23.7,27/3/2019,2.75,2.7,2.7,9023,MAINAIRASIA GROUP BERHAD,1,2.75,4.46,AIRASIA,32.57,"Travel, Leisure & Hospitality",27/3/2019 13:11,23001
1.4,3570,1.39,1806,3.73,0.05,5141,,27/3/2019,1.44,1.39,1.35,1341,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.37,8.18,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",27/3/2019 13:11,625986
0.285,200,0.275,168,-5.17,-0.015,191,4.73,27/3/2019,0.28,0.28,0.27,49,ACECABNET HOLDINGS BERHAD,1,0.27,10.42,CABNET,10.04,Technology Equipment,27/3/2019 13:11,560
0.06,71498,0.055,3000,9.09,0.005,7243,,26/3/2019,0.06,0.06,0.05,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,26/3/2019 13:12,32550
1.34,1059,1.33,10230,-0.74,-0.01,5141,,26/3/2019,1.38,1.34,1.32,1293,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.38,7.88,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",26/3/2019 13:12,244735
2.74,774,2.73,2444,1.11,0.03,5099,23.36,26/3/2019,2.75,2.74,2.73,9157,MAINAIRASIA GROUP BERHAD,1,2.73,4.52,AIRASIA,32.57,"Travel, Leisure & Hospitality",26/3/2019 13:12,30082
0.29,100,0.27,329,-1.69,-0.005,191,4.48,26/3/2019,0.29,0.29,0.27,51,ACECABNET HOLDINGS BERHAD,1,0.275,10.98,CABNET,10.04,Technology Equipment,26/3/2019 13:12,220
1.35,2313,1.33,14544,1.5,0.02,5141,,25/3/2019,1.39,1.35,1.26,1302,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.27,7.94,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",25/3/2019 13:09,558556
2.73,50,2.71,5839,-2.87,-0.08,5099,23.62,25/3/2019,2.76,2.71,2.71,9057,MAINAIRASIA GROUP BERHAD,1,2.74,4.47,AIRASIA,32.57,"Travel, Leisure & Hospitality",25/3/2019 13:09,78007
